candidate_id,observation_count,num_unique_timestamps,t_min,t_max,duration_s,persistence_score
70,142,142,34.7,101.7,67.0,1.0
71,116,116,35.8,101.5,65.7,1.0
72,1,1,36.1,36.1,0.0,0.0
73,130,130,36.9,103.3,66.4,1.0
74,108,108,37.9,103.2,65.30000000000001,1.0
75,122,122,39.0,105.0,66.0,1.0
76,106,106,39.8,105.0,65.2,1.0
77,116,116,40.9,106.6,65.69999999999999,1.0
78,1,1,41.3,41.3,0.0,0.0
79,104,104,41.6,106.7,65.1,1.0
80,1,1,42.5,42.5,0.0,0.0
81,117,116,42.5,108.2,65.7,1.0
82,1,1,42.7,42.7,0.0,0.0
83,102,102,43.4,108.4,65.0,1.0
84,118,118,44.0,109.8,65.8,1.0
85,104,104,45.0,110.1,65.1,1.0
86,121,120,45.5,111.4,65.9,1.0
87,108,108,46.5,111.8,65.3,1.0
88,128,128,46.7,113.0,66.3,1.0
89,1,1,47.5,47.5,0.0,0.0
90,138,138,47.9,114.7,66.80000000000001,1.0
91,112,112,48.0,113.5,65.5,1.0
92,1,1,48.2,48.2,0.0,0.0
93,152,152,48.9,116.4,67.5,1.0
94,120,120,49.3,115.2,65.9,1.0
95,170,170,49.7,118.1,68.39999999999999,1.0
96,1,1,49.9,49.9,0.0,0.0
97,128,128,50.5,116.8,66.3,1.0
98,1,1,50.7,50.7,0.0,0.0
99,1,1,51.3,51.3,0.0,0.0
100,139,138,51.6,118.4,66.80000000000001,1.0
101,166,166,51.7,119.9,68.2,1.0
102,1,1,52.2,52.2,0.0,0.0
103,1,1,52.6,52.6,0.0,0.0
104,1,1,64.2,64.2,0.0,0.0
105,1,1,65.1,65.1,0.0,0.0
106,1,1,66.7,66.7,0.0,0.0
107,1,1,67.0,67.0,0.0,0.0
108,1,1,69.2,69.2,0.0,0.0
109,1,1,70.8,70.8,0.0,0.0
110,1,1,70.9,70.9,0.0,0.0
111,1,1,71.5,71.5,0.0,0.0
112,1,1,71.7,71.7,0.0,0.0
113,1,1,73.0,73.0,0.0,0.0
114,1,1,73.6,73.6,0.0,0.0
115,1,1,74.0,74.0,0.0,0.0
116,1,1,75.9,75.9,0.0,0.0
117,1,1,78.7,78.7,0.0,0.0
118,1,1,79.0,79.0,0.0,0.0
119,1,1,82.1,82.1,0.0,0.0
120,1,1,82.3,82.3,0.0,0.0
121,1,1,82.7,82.7,0.0,0.0
122,2,2,82.8,84.9,2.1000000000000085,0.21000000000000085
123,1,1,83.5,83.5,0.0,0.0
124,1,1,85.0,85.0,0.0,0.0
125,1,1,85.4,85.4,0.0,0.0
126,1,1,88.4,88.4,0.0,0.0
127,1,1,91.5,91.5,0.0,0.0
128,1,1,94.9,94.9,0.0,0.0
129,1,1,97.6,97.6,0.0,0.0
130,1,1,98.5,98.5,0.0,0.0
131,1,1,99.1,99.1,0.0,0.0
132,1,1,99.4,99.4,0.0,0.0
133,1,1,106.4,106.4,0.0,0.0
134,1,1,107.6,107.6,0.0,0.0
135,1,1,111.0,111.0,0.0,0.0
136,1,1,114.2,114.2,0.0,0.0
137,1,1,114.9,114.9,0.0,0.0
138,1,1,116.5,116.5,0.0,0.0
139,1,1,118.1,118.1,0.0,0.0
140,1,1,118.3,118.3,0.0,0.0
