cluster_id,global_x,global_y,observation_count,real_observations,ghost_observations,ghost_fraction,mean_confidence,first_timestamp,last_timestamp,unique_frames
56,7.533434722200941,-28.108192662879937,104,104,0,0.0,0.8875961538461539,41.6,106.7,104
57,12.494806404293852,-20.186284673365336,117,116,1,0.008547008547008548,0.8772649572649572,42.5,108.2,116
58,14.885740359388631,-26.767108617266494,102,102,0,0.0,0.8838235294117647,43.4,108.4,102
59,18.254303412754247,-18.62974641834809,118,118,0,0.0,0.8723728813559323,44.0,109.8,118
60,21.72574551087117,-24.694041791420993,104,104,0,0.0,0.8845192307692309,45.0,110.1,104
61,23.45555686543387,-16.494408050482843,121,120,1,0.008264462809917356,0.8889256198347107,45.5,111.4,120
62,27.960392000632268,-21.81750035869172,108,108,0,0.0,0.8774074074074074,46.5,111.8,108
63,27.958506814663473,-13.840477617485355,128,128,0,0.0,0.87625,46.7,113.0,128
64,31.617276840697514,-10.758883694926187,138,138,0,0.0,0.8866666666666666,47.9,114.7,138
65,33.31654436888915,-18.341231616975726,112,112,0,0.0,0.8860714285714286,48.0,113.5,112
66,34.31865732092451,-7.36253217915639,152,152,0,0.0,0.8755263157894736,48.9,116.4,152
67,37.693785253124126,-14.237686884670968,120,120,0,0.0,0.8845000000000002,49.3,115.2,120
68,35.96494801214852,-3.738177193281826,170,170,0,0.0,0.8857647058823529,49.7,118.1,170
69,40.89789043984463,-9.74097416232871,128,128,0,0.0,0.8744531249999999,50.5,116.8,128
70,42.82646831112081,-4.942810914497826,139,138,1,0.007194244604316547,0.8805755395683453,51.6,118.4,138
71,36.46952083552084,0.03913251098283929,166,166,0,0.0,0.8748795180722891,51.7,119.9,166
